City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
100,Santa Catarina,BR,-27.0,-50.0,61.36,99,100,1.83,overcast clouds
101,Avanigadda,IN,16.0215,80.9181,86.36,63,13,7.29,few clouds
102,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.92,99,91,1.3,overcast clouds
103,Avera,US,33.194,-82.5271,55.45,64,100,5.68,overcast clouds
104,Filadelfia,US,39.9523,-75.1638,47.55,95,100,4.0,light rain
105,Talnakh,RU,69.4865,88.3972,11.21,92,100,11.07,overcast clouds
106,Hambantota,LK,6.1241,81.1185,79.14,100,20,3.44,few clouds
107,Bathsheba,BB,13.2167,-59.5167,77.32,78,15,22.15,few clouds
108,Beringovskiy,RU,63.05,179.3167,20.16,92,100,4.7,light snow
109,Ipixuna,BR,-1.7625,-48.8043,72.84,99,100,2.35,light rain
110,Erenhot,CN,43.6475,111.9767,38.37,25,82,9.93,broken clouds
111,Prince George,CA,53.9166,-122.753,39.25,43,0,4.61,clear sky
112,Newark,US,40.7357,-74.1724,46.42,94,100,13.8,mist
113,Fortuna,US,40.5982,-124.1573,50.94,92,100,5.75,overcast clouds
114,Saint-Leu,RE,-21.15,55.2833,77.32,81,11,3.02,few clouds
115,Carnarvon,AU,-24.8667,113.6333,85.89,62,100,12.95,overcast clouds
116,Norman Wells,CA,65.282,-126.8329,6.84,51,20,11.5,few clouds
117,La Grande,US,45.3246,-118.0877,51.03,66,28,1.72,scattered clouds
118,Ulladulla,AU,-35.35,150.4667,68.9,72,70,5.73,broken clouds
119,Pospelikha,RU,51.95,81.7667,17.74,96,69,9.08,broken clouds
120,Victoria,HK,22.2855,114.1577,77.95,95,94,21.99,overcast clouds
121,La Union,PE,-5.4,-80.75,73.76,64,92,12.26,overcast clouds
122,Sur,OM,22.5667,59.5289,82.2,35,0,4.25,clear sky
123,Kualakapuas,ID,-3.0091,114.3876,89.69,60,100,1.99,overcast clouds
124,Provideniya,RU,64.3833,-173.3,12.36,73,0,11.18,clear sky
125,Tasiilaq,GL,65.6145,-37.6368,15.93,62,100,7.96,overcast clouds
126,Souillac,MU,-20.5167,57.5167,79.18,83,40,3.44,scattered clouds
127,Mandali,IQ,33.7499,45.5541,52.7,35,0,4.41,clear sky
128,Yurga,RU,55.7231,84.8861,16.23,95,62,10.56,broken clouds
129,Nome,US,64.5011,-165.4064,22.15,69,58,4.85,broken clouds
130,Tautira,PF,-17.7333,-149.15,80.85,73,52,12.46,light rain
131,Saint George,US,37.1041,-113.5841,73.99,17,0,9.22,clear sky
132,Fairbanks,US,64.8378,-147.7164,31.08,47,0,5.75,clear sky
133,Kayiry,UA,46.9454,33.7059,34.99,69,46,3.33,scattered clouds
134,Sucha Beskidzka,PL,49.7419,19.5943,40.01,60,0,2.57,clear sky
135,Yulara,AU,-25.2406,130.9889,84.04,32,0,18.41,clear sky
136,Arraial Do Cabo,BR,-22.9661,-42.0278,75.78,85,3,23.8,clear sky
137,Montana,BG,43.4125,23.225,49.14,46,0,4.18,clear sky
138,Asau,RO,46.4333,26.4,33.28,75,6,4.9,clear sky
139,Plavinas,LV,56.6178,25.7255,32.65,87,27,4.18,scattered clouds
140,Tulum,MX,20.2167,-87.4667,71.8,90,98,9.28,overcast clouds
141,Zhenlai,CN,45.8495,123.2973,43.9,47,50,15.26,scattered clouds
142,Noumea,NC,-22.2763,166.4572,85.98,69,81,15.14,broken clouds
143,Alugan,PH,12.2188,125.4808,83.19,76,97,9.48,overcast clouds
144,Adrar,MR,20.5022,-10.0711,62.29,33,0,11.03,clear sky
145,Yamada,JP,39.4667,141.95,46.96,67,47,5.97,scattered clouds
146,Beyneu,KZ,45.3167,55.2,36.68,72,98,17.47,overcast clouds
147,Vaitape,PF,-16.5167,-151.75,81.59,73,22,13.4,few clouds
148,Ust-Kuyga,RU,70.0167,135.6,4.44,88,49,5.79,scattered clouds
149,Bengkulu,ID,-3.8004,102.2655,83.71,60,100,4.05,overcast clouds
150,Thompson,CA,55.7435,-97.8558,19.56,86,100,19.57,overcast clouds
151,Pafos,CY,34.7667,32.4167,44.38,81,75,9.22,broken clouds
152,Vila Velha,BR,-20.3297,-40.2925,75.15,94,100,3.44,overcast clouds
153,Micheweni,TZ,-4.9667,39.8333,80.33,81,47,6.8,scattered clouds
154,Hasaki,JP,35.7333,140.8333,63.28,42,14,6.96,few clouds
155,Olbia,IT,40.9214,9.4856,35.65,93,0,4.61,clear sky
156,Sistranda,NO,63.7256,8.834,46.36,90,100,36.86,overcast clouds
157,Chak Jhumra,PK,31.5678,73.1835,78.67,23,0,4.25,clear sky
158,Longyearbyen,SJ,78.2186,15.6401,-2.36,71,75,9.22,broken clouds
159,Yar-Sale,RU,66.8333,70.8333,4.64,95,100,4.47,overcast clouds
